Time,TradingStrategy,BuyAndHold
542,186101,182357
543,185434,182145
544,185017,181179
545,186246,181813
546,184221,180571
547,184691,181119
548,182873,180203
549,181827,180249
550,184194,181893
551,184031,182008
552,181757,180316
553,180711,179588
554,180929,179491
555,178679,178770
556,177840,179155
557,179092,179991
558,179209,180508
559,181082,181910
560,181699,182376
561,181578,182942
562,182280,183613
563,181869,182718
564,183222,183835
565,181545,182771
566,183811,184048
567,183796,184199
568,182952,184276
569,183993,184951
570,183754,185339
571,182742,184404
572,181366,183056
573,181261,182640
574,182012,182811
575,182195,183108
576,181345,181873
577,178798,179371
578,177593,178997
579,174578,177320
580,172820,175986
581,173857,176634
582,172908,175580
583,170502,174880
584,170981,175454
585,171151,175991
586,172885,177194
587,171128,175953
588,171407,175227
589,174365,176688
590,171492,174483
591,171403,174146
592,170725,174014
593,170248,173509
594,172532,175354
595,173096,175932
596,172356,175967
597,169872,175376
598,170722,175562
599,170969,176074
600,167958,173773
601,168638,173928
602,169985,175041
603,170191,175189
604,171414,176303
605,172540,177121
606,172407,177341
607,172974,177319
608,171153,176028
609,170346,175300
610,169854,174409
611,171425,175424
612,171696,176192
613,172155,176137
614,171155,175655
615,170995,175758
616,170380,175854
617,170505,176131
618,172405,177544
619,173331,177556
620,174518,178184
621,173413,177190
622,173325,177351
623,172281,176841
624,173604,177958
625,171570,176308
626,171456,176120
627,170480,175013
628,170666,174988
629,170802,175233
630,170495,174902
631,169233,174162
632,168795,174114
633,171914,175802
634,169246,174377
635,172941,177008
636,174980,178691
637,173920,177689
638,175162,179013
639,173614,177416
640,174237,178401
641,173866,177955
642,174481,177947
643,175241,177656
644,172511,175857
645,172135,175400
646,171998,174962
647,173988,176122
648,173789,176644
649,173534,177605
650,173890,178425
651,173934,178643
652,175818,179552
653,174209,178221
654,174037,177836
655,175366,179457
656,175595,179320
657,176387,179885
658,177291,180956
659,176613,180151
660,179450,182003
661,178957,182005
662,180261,182832
663,180210,182864
664,180177,182475
665,178581,181572
666,180979,183216
667,183186,184761
668,185187,184491
669,186260,185569
670,185942,184979
671,189189,186652
672,188439,187410
673,188049,187384
674,185527,185538
675,188312,186858
676,188631,186432
677,186538,185296
678,185181,184031
679,186843,185440
680,187171,185804
681,186974,185631
682,189860,186682
683,190144,186489
684,190252,186564
685,189741,186471
686,189789,186275
687,188705,185813
688,190973,187231
689,191405,188387
690,190708,188738
691,189651,188332
692,189204,187995
693,190811,189021
694,191457,189385
695,189518,187130
696,191656,188909
697,191949,189420
698,192647,190407
699,192464,189674
700,192475,189760
701,194360,191404
702,195075,190498
703,195432,191133
704,193310,189233
705,194463,190886
706,195277,191887
707,194359,191332
708,194214,190700
709,194237,190402
710,193089,189823
711,190255,188566
712,189014,187667
713,188412,187371
714,189197,188822
715,189931,189108
716,190505,188995
717,191244,189585
718,190133,188854
719,190828,189382
720,190988,189240
721,193722,192511
722,197553,193882
723,197624,193314
724,196531,192756
725,195960,192885
726,200269,195211
727,199608,194289
728,199396,194239
729,199225,194327
730,200363,195006
731,197486,193099
732,196972,192271
733,198631,193113
734,199413,193855
735,197633,192839
736,197773,192865
737,197127,192723
738,197197,192665
739,196328,192008
740,197372,194083
741,195092,192212
742,194548,191412
743,194299,191265
744,193631,190493
745,191073,188732
746,189230,187908
747,189874,188149
748,190465,187824
749,190010,187568
750,190323,187492
751,186536,184598
752,184884,183735
753,184145,182834
754,184312,183272
755,185233,184014
756,186085,184586
757,185708,184503
758,184441,183466
759,185721,184441
760,187433,186126
761,184417,183489
762,182381,182384
763,183052,182502
764,181859,182969
765,182434,183298
766,180120,181807
767,178663,180477
768,179109,180826
769,179172,181071
770,180251,182101
771,180233,182120
772,181893,183258
773,180881,182530
774,180232,181201
775,175878,178264
776,173607,175800
777,173756,176296
778,174076,176594
779,173294,176569
780,174772,177437
781,174088,177036
782,173858,176927
783,172774,176577
784,169998,174593
785,170198,175119
786,170916,174932
787,171753,174886
788,171855,175119
789,171559,175479
790,171979,176556
791,170775,175475
792,168738,174195
793,169183,175055
794,169142,175351
795,170873,176991
796,171568,176880
797,170168,176194
798,170313,176678
799,169009,175344
800,170512,176464
801,169559,176421
802,170334,177005
803,169388,176421
804,169984,177041
805,170530,177433
806,174077,180243
807,175157,180890
808,177425,183040
809,175214,181370
810,174736,180963
811,175022,181070
812,176626,182323
813,176071,182302
814,176385,182877
815,177072,183087
816,177155,183551
817,177033,184279
818,176118,183256
819,176780,183796
820,177008,183784
821,179733,186652
822,181144,187146
823,179043,185909
824,179668,186709
825,178258,185337
826,178648,186524
827,176563,185167
828,178138,187021
829,177827,186914
830,177526,187373
831,177697,187282
832,176329,186070
833,176607,186002
834,175102,184553
835,173612,183357
836,174012,183230
837,175257,183681
838,176003,184846
839,174261,183911
840,175778,184665
841,176050,185720
842,176422,186043
843,175163,184152
844,174118,183374
845,172535,182472
846,174871,184042
847,176133,184778
848,176118,185018
849,174715,184299
850,175771,186096
851,175406,186115
852,174000,184808
853,175537,186343
854,178474,188525
855,176417,187328
856,180267,189246
857,183162,191538
858,185680,193127
859,185157,192898
860,187105,194458
861,185539,192787
862,185149,192846
863,185603,193991
864,184477,191782
